isapre,fuente,num_planes,precio_min_uf,precio_max_uf,precio_promedio_uf,cobertura_hosp_pct,cobertura_amb_pct,num_prestadores,prestadores_por_plan,planes_destacados,historia,clinicas_red,url_fuente
Banmédica,QuVi (08-jul-2026) + CSV,290,0.94,8.82,3.06,74,63,43,15,SALUD PLATINUM ONE (4.55UF/100%H/80%A) | SALUD BLACK (8.82UF/90-100%H/80-90%A) | SALUD CONECTA CLASICO (0.94UF/40%H/40%A),"35+ anos, 31 sucursales, 8000 convenios, 585K beneficiarios, Grupo Banmedica","Las Condes, Alemana, Santa Maria, UC Christus, INDISA, UAndes, Vida Integra",https://www.quvi.cl/isapres/banmedica
Colmena,QuVi (08-jul-2026) + CSV,456,1.15,5.32,2.58,78,66,71,19,COLMENA MASTER (4.52UF/100%H/80%A) | COLMENA PRO (5.32UF/100%H/80%A) | COLMENA STAR (1.15UF/40-50%H/40%A),"Fundada 1981, pionera, fusion con Nva MasVida 2023","INDISA, UC Christus, Alemana, Las Condes, Santa Maria, UAndes",https://www.quvi.cl/isapres/colmena
Consalud,QuVi (08-jul-2026) + CSV,472,1.16,6.42,3.02,81,67,53,17,SELECT FULL CENTRO 150 (6.42UF/80-100%H/60-80%A) | SELECT FULL 260 (6.36UF/80-100%H/80%A) | CORE 10 01 (1.16UF/40%H/40%A),"Fundada 1983 CChC, ILC, 40+ anos, lider cesantia 1989, bonos elec. 2000, oncologico 2013","Las Condes, Alemana, UC Christus, Santa Maria, INDISA, Hospital del Trabajador, UAndes",https://www.quvi.cl/isapres/consalud
Cruz Blanca,QuVi (08-jul-2026) + CSV,526,1.09,5.50,3.11,82,74,41,N/D,SOLUCION 1 REGIONAL (4.73UF/90-100%H/80-100%A) | SOLUCION 2 (5.50UF/90-100%H/60-100%A) | CAMPUS BUPA MAX (1.09UF/40%H/50%A),"Constituida 1985, matriz Bupa UK, clinicas propias","UC Christus, Alemana, Las Condes, Santa Maria, INDISA, UAndes, Hospital del Trabajador",https://www.quvi.cl/isapres/cruz_blanca
Esencial,QuVi (08-jul-2026) + web,83,1.44,5.70,2.91,74,63,51,N/D,ESENCIAL 100H70A (5.50UF/100%H/70-90%A) | ESENCIAL 90H80A (5.70UF/90-100%H/80-90%A) | ESENCIAL INICIA (1.44UF/50-60%H/40%A),"Respaldo Grupo Clinica Alemana, GES 90 patologias garantizado","Clinica Alemana, Santa Maria, UC Christus, INDISA (convenio Grupo Alemana)",https://www.quvi.cl/isapres/esencial
Nueva MasVida,QuVi (08-jul-2026) + CSV,174,1.18,5.64,3.30,90,73,37,N/D,PLENO PLUS SUR (4.81UF/90-100%H/80%A) | PLENO MAX (5.64UF/100%H/80%A) | PLENO SALUD (1.18UF/50-70%H/50-60%A),"Ex Optima, fusion Masvida 2017, Nexus Company (USA), 275K beneficiarios, 33 sucursales","INDISA, Davila, Las Condes, Santa Maria, IntegraMedica, UAndes, Hospital del Trabajador",https://www.quvi.cl/isapres/nueva_masvida
Vida Tres,QuVi (08-jul-2026) + CSV,230,1.29,8.99,3.30,76,64,43,N/D,VANGUARDIA PREMIUM PLATINUM ONE (4.68UF/100%H/80%A) | VANGUARDIA PREMIUM BLACK (8.99UF/90-100%H/80-90%A) | VANGUARDIA PLUS GOLD (1.29UF/40%H/40%A),"3 decadas, Apoquindo 3600, Grupo Banmedica, UnitedHealth Group",(no listadas en CSV),https://www.quvi.cl/isapres/vida_tres
